TSCreator litho-pattern to GMT-fixed pattern ,,code look-up table,Ogg comments
Names of lithology atterns,RGB,Color=<>,
Glacial Till,229/159/64,p85+b229/159/64+r800,
Conglomerate,255/240/161,p86+byellow+r800,
Aus Conglomerate,255/240/161,p86+byellow+r800,
Coarse_grained sandstone,255/240/161,p18+byellow+r800,
Coarse-grained sandstone,255/240/161,p18+byellow+r800,
Coarse grained sandstone,255/240/161,p18+byellow+r800,
Sandstone,255/240/161,p17+byellow+r1300,
Fine-grained sandstone,255/240/161,p31+byellow+r800,
Fine grained sandstone,255/240/161,p31+byellow+r800,
Clayey Sandstone,255/240/161,p43+byellow+r500,
Clayey_sandstone,255/240/161,p43+byellow+r500,
Siltstone,252/180/130,p60+b252/180/130+r800,
Claystone,215/176/152,p24+b215/176/152+r800,
Shale,215/176/152,p5+b215/176/152+r800,
Sandy_claystone,215/176/152,p43+b215/176/152+r600,
Sandy Claystone,215/176/152,p43+b215/176/152+r600,
Sandy Limestone,204/220/235,p33+b204/220/235+r800,
Clayey Limestone,204/220/235,p55+b204/220/235+r800,
Shallow-marine marl,204/220/235,p59+b204/220/235+r800,
Shallow Marine Marl,204/220/235,p59+b204/220/235+r800,
Pelagic Marl,166/178/203,p59+broyalblue1+r800,
Limestone,204/220/235,p20+b204/220/235+r800,
Oolitic Limestone,204/220/235,p53+b204/220/235+r800,
Reef Limestone,204/220/235,p56+b204/220/235+r800,
Siliceous Limestone,204/220/235,p52+b204/220/235+r800,
Chalk,166/178/203,p42+broyalblue1+r800,
Siliceous Chalk,166/178/203,p48+broyalblue1+r800,
Chert,166/178/203,p49+broyalblue1+r800,
Dolomite,186/228/179,p21+b186/228/179+r800,
Dolomitic Limestone,186/228/179,p20+b186/228/179+r800,
Soil,240/136/48,p72+b240/136/48+r800,
Coal,0/0/0,p4+bwhite+r150,
Halite,252/192/210,p14+b252/192/210+r800,
Gypsum-Anhydrite,252/192/210,p28+b252/192/210+r800,
Gypsum Anhydrite,252/192/210,p28+b252/192/210+r800,
Gypsum,252/192/210,p28+b252/192/210+r800,
Anhydrite,252/192/210,p28+b252/192/210+r800,
Evaporite,252/192/210,p28+b252/192/210+r800,
Gypsiferous Claystone,215/176/152,p28+b215/176/152+r800,
Gypsiferous-claystone,215/176/152,p28+b215/176/152+r800,
Granitic,204/204/204,p74+bred+r800,
Granite,204/204/204,p74+bred+r800,
Granitics,204/204/204,p74+bred+r800,
Gneiss,204/204/204,p22+b204/204/204+r800,
Metavolcanics,204/204/204,p28+b204/204/204+r800,
Volcanics,253/78/33,p28+bred+r800,
Volcanic,253/78/33,p28+bred+r800,
Volcanic_ash,253/78/33,p57+bred+r800,
Volcanic Ash,253/78/33,p57+bred+r800,
Lava,253/78/33,p23+bred+r800,
Banded Iron,147/41/35,p4+b147/41/35+f57/176/71+r150,
Banded-iron,147/41/35,p4+b147/41/35+f57/176/71+r150,
Banded_iron,147/41/35,p4+b147/41/35+f57/176/71+r150,
No Data,255/255/255,p7+bwhite+r800,
Unknown,255/255/255,p7+bwhite+r800,
Gap,255/255/255,255/255/255,
